name,latitude,longitude,prefecture,description,url
みなとや幽霊子育飴本舗 ,34.997848,135.773742,滋賀県,みなとや幽霊子育飴本舗 とは、京都府京都市にある商業施設の心霊スポットです。少女、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3315&utm_source=mymap
宵待橋,34.865226,135.838139,滋賀県,宵待橋とは、京都府宇治田原町にある橋の心霊スポットです。正体不明、動物、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3428&utm_source=mymap
三島池,35.374717,136.358158,滋賀県,三島池とは、滋賀県米原市にある湖（池）・ダムの心霊スポットです。少女、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3866&utm_source=mymap
大岩神社,34.951567,135.792271,滋賀県,大岩神社とは、京都府京都市にある神社・寺の心霊スポットです。少女、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3871&utm_source=mymap
六道珍皇寺,34.998275,135.775419,滋賀県,六道珍皇寺とは、京都府京都市にある神社・寺の心霊スポットです。正体不明、老爺、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3895&utm_source=mymap
清水寺,34.994856,135.785045,滋賀県,清水寺とは、京都府京都市にある神社・寺の心霊スポットです。老爺、老婆、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3913&utm_source=mymap
乙女ヶ池(真珠池),35.289502,136.015,滋賀県,乙女ヶ池(真珠池)とは、滋賀県高島市にある湖（池）・ダムの心霊スポットです。女性、少年、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3980&utm_source=mymap
敦賀気比高等学校,35.645161,136.030741,滋賀県,敦賀気比高等学校とは、福井県敦賀市にある学校の心霊スポットです。少年、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4072&utm_source=mymap
音羽台団地,35.000775,135.865524,滋賀県,音羽台団地とは、滋賀県大津市にある住居の心霊スポットです。少女、老婆、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4281&utm_source=mymap
琵琶湖,35.257719,136.102014,滋賀県,琵琶湖とは、滋賀県高島市にある湖（池）・ダムの心霊スポットです。女性、老爺、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4284&utm_source=mymap
千鳥ヶ丘公園(雨壺山),35.256771,136.249614,滋賀県,千鳥ヶ丘公園(雨壺山)とは、滋賀県彦根市にある公園・城跡の心霊スポットです。男性、動物、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4552&utm_source=mymap
枚方学研ICのアンダーパス,34.808128,135.710669,滋賀県,枚方学研ICのアンダーパスとは、大阪府枚方市にあるトンネルの心霊スポットです。少女、少年、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4662&utm_source=mymap
南草津駅,35.003476,135.946784,滋賀県,南草津駅とは、滋賀県草津市にある駅・踏切の心霊スポットです。男性、女性、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4757&utm_source=mymap
ロクハ公園,34.99664,135.968599,滋賀県,ロクハ公園とは、滋賀県草津市にある公園・城跡の心霊スポットです。女性、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4758&utm_source=mymap
若一神社,34.98442,135.732796,滋賀県,若一神社とは、京都府京都市にある神社・寺の心霊スポットです。少年、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=4925&utm_source=mymap
敦賀国際スキー場,35.536999,136.097223,滋賀県,敦賀国際スキー場とは、福井県敦賀市にある商業施設の心霊スポットです。正体不明、男性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5108&utm_source=mymap
賤ヶ岳,35.50606,136.192768,滋賀県,賤ヶ岳とは、滋賀県長浜市にある山・森の心霊スポットです。正体不明、少女、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5109&utm_source=mymap
十四春旅館,34.9984,135.758666,滋賀県,十四春旅館とは、京都府京都市にあるホテル・旅館の心霊スポットです。正体不明、動物、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5119&utm_source=mymap
落合集落,35.267912,136.352981,滋賀県,落合集落とは、滋賀県多賀町にある村・集落の心霊スポットです。正体不明、老爺、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5193&utm_source=mymap
諏訪神社付近の雑木林,34.840594,135.732828,滋賀県,諏訪神社付近の雑木林とは、京都府京田辺市にある山・森の心霊スポットです。老爺、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5509&utm_source=mymap
御斎峠,34.803514,136.07003,滋賀県,御斎峠とは、滋賀県甲賀市にある道・峠の心霊スポットです。老婆、少年、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5517&utm_source=mymap
湖北隧道,35.503369,136.15784,滋賀県,湖北隧道とは、滋賀県長浜市にあるトンネルの心霊スポットです。老婆、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=5715&utm_source=mymap
